Model,Row,Col,Angle,Force,Success
PPO (Visible),0,0,0,0.0,0
PPO (Visible),0,0,0,0.0,1
PPO (Visible),0,0,0,0.0,0
PPO (Visible),0,0,0,0.0,0
PPO (Visible),0,0,0,0.0,0
PPO (Visible),0,0,0,0.0,0
PPO (Visible),0,0,0,0.0,0
PPO (Visible),0,0,0,0.0,1
PPO (Visible),0,0,0,0.0,1
PPO (Visible),0,0,0,0.0,1
PPO (Visible),0,0,0,5.0,0
PPO (Visible),0,0,0,5.0,1
PPO (Visible),0,0,0,5.0,1
PPO (Visible),0,0,0,5.0,1
PPO (Visible),0,0,0,5.0,0
PPO (Visible),0,0,0,5.0,1
PPO (Visible),0,0,0,5.0,0
PPO (Visible),0,0,0,5.0,0
PPO (Visible),0,0,0,5.0,1
PPO (Visible),0,0,0,5.0,1
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,1
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,10.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,0,15.0,0
PPO (Visible),0,0,45,0.0,1
PPO (Visible),0,0,45,0.0,0
PPO (Visible),0,0,45,0.0,1
PPO (Visible),0,0,45,0.0,1
PPO (Visible),0,0,45,0.0,0
PPO (Visible),0,0,45,0.0,0
PPO (Visible),0,0,45,0.0,1
PPO (Visible),0,0,45,0.0,0
PPO (Visible),0,0,45,0.0,0
PPO (Visible),0,0,45,0.0,0
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,5.0,0
PPO (Visible),0,0,45,5.0,0
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,5.0,0
PPO (Visible),0,0,45,5.0,1
PPO (Visible),0,0,45,10.0,1
PPO (Visible),0,0,45,10.0,0
PPO (Visible),0,0,45,10.0,0
PPO (Visible),0,0,45,10.0,0
PPO (Visible),0,0,45,10.0,0
PPO (Visible),0,0,45,10.0,1
PPO (Visible),0,0,45,10.0,0
PPO (Visible),0,0,45,10.0,1
PPO (Visible),0,0,45,10.0,0
PPO (Visible),0,0,45,10.0,1
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,1
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,45,15.0,0
PPO (Visible),0,0,90,0.0,1
PPO (Visible),0,0,90,0.0,1
PPO (Visible),0,0,90,0.0,0
PPO (Visible),0,0,90,0.0,1
PPO (Visible),0,0,90,0.0,0
PPO (Visible),0,0,90,0.0,0
PPO (Visible),0,0,90,0.0,1
PPO (Visible),0,0,90,0.0,1
PPO (Visible),0,0,90,0.0,0
PPO (Visible),0,0,90,0.0,1
PPO (Visible),0,0,90,5.0,1
PPO (Visible),0,0,90,5.0,0
PPO (Visible),0,0,90,5.0,0
PPO (Visible),0,0,90,5.0,0
PPO (Visible),0,0,90,5.0,0
PPO (Visible),0,0,90,5.0,1
PPO (Visible),0,0,90,5.0,1
PPO (Visible),0,0,90,5.0,0
PPO (Visible),0,0,90,5.0,0
PPO (Visible),0,0,90,5.0,1
PPO (Visible),0,0,90,10.0,1
PPO (Visible),0,0,90,10.0,1
PPO (Visible),0,0,90,10.0,0
PPO (Visible),0,0,90,10.0,0
PPO (Visible),0,0,90,10.0,0
PPO (Visible),0,0,90,10.0,1
PPO (Visible),0,0,90,10.0,1
PPO (Visible),0,0,90,10.0,1
PPO (Visible),0,0,90,10.0,1
PPO (Visible),0,0,90,10.0,0
PPO (Visible),0,0,90,15.0,0
PPO (Visible),0,0,90,15.0,0
PPO (Visible),0,0,90,15.0,0
