#{"t_start": 1765889648.5965924, "env_id": "LunarLander-v3"}
r,l,t
-115.487936,102,0.936715
-145.637722,74,0.983352
-148.535188,63,1.021708
-89.236051,95,1.076015
-158.037048,77,1.118747
-114.65956,89,1.161866
-93.594706,58,1.190449
-262.340908,102,1.24733
-72.714719,62,1.281905
-376.438139,86,1.330552
-316.813149,84,1.374292
-54.26725,74,1.411477
-462.107195,94,1.456477
-112.064756,120,1.518198
-85.712813,85,1.56495
-30.46124,139,1.646177
-250.388804,95,1.699696
-304.898231,96,1.748696
-226.93352,118,1.809675
-144.523508,78,1.847786
-120.494794,94,1.894642
-331.085189,77,1.931981
-420.260406,94,2.573248
-96.815759,86,2.6253
-79.012917,63,2.663835
-322.423592,168,2.764428
-122.170975,79,2.803985
-309.721254,116,2.859984
-168.417302,109,2.913009
-55.30333,96,2.959136
-148.419562,77,2.996673
-335.392588,87,3.037861
-147.485256,75,3.074868
-84.673929,70,3.111953
-517.664651,86,3.154703
-120.220374,79,3.203943
-231.469816,65,3.241317
-105.7965,91,3.293405
-267.033334,132,3.363949
-167.637155,89,3.40849
-118.811599,84,3.450467
-195.403341,124,3.513801
-98.746407,67,3.545798
7.625312,92,3.591841
-191.431293,130,4.250952
-138.860187,120,4.319459
-215.118346,126,4.394979
-131.345458,90,4.447982
15.323684,104,4.500472
-210.599075,133,4.574086
-174.190077,132,4.640915
-163.918694,79,4.679477
-120.837486,111,4.734491
-66.91883,85,4.778695
-164.872227,81,4.81789
-89.985655,85,4.861324
-111.278805,102,4.919001
-110.715567,74,4.958246
-192.643244,75,4.994782
-188.05732,101,5.04489
-110.533313,134,5.113653
-137.282337,89,5.157637
-139.502756,78,5.196913
-267.750529,102,5.24917
-111.357338,85,5.291524
-71.017728,71,5.881719
-71.566358,103,5.941719
-55.359047,75,5.984226
-193.394177,134,6.06423
-330.635648,144,6.13575
-96.184649,82,6.177771
-13.297708,70,6.213322
-28.239968,178,6.300805
-41.891668,77,6.339329
-93.646593,72,6.374651
-40.988103,88,6.41717
-71.357294,82,6.45845
-85.277903,98,6.504792
-313.556022,131,6.57015
-85.758822,74,6.608312
-273.450385,99,6.658499
-92.254377,142,6.72935
-73.377158,82,6.772094
-58.079538,70,6.806727
-175.711651,205,6.906215
-186.09589,103,7.535286
-76.598755,80,7.578289
-249.504337,85,7.627793
-265.738766,148,7.711314
51.270206,111,7.767319
-199.97444,152,7.842832
-258.445135,144,7.911791
-340.696126,146,7.98289
-190.967553,137,8.049673
-120.8756,104,8.101623
-181.649754,154,8.179902
-348.884652,167,8.263323
-48.782939,80,8.302299
-73.929612,185,8.39447
-16.292259,95,8.440576
-104.197073,124,8.504561
-220.172206,98,9.127665
-394.312449,218,9.251171
-458.919557,190,9.349755
-267.913701,172,9.433187
-529.806353,187,9.527335
-356.815587,108,9.579041
-18.024758,93,9.62577
-24.710059,213,9.731496
-408.254949,129,9.797111
-411.418099,176,9.884423
-427.696902,167,9.966992
-90.681165,121,10.028225
-112.302272,145,10.100869
-351.214664,189,10.783437
-271.314544,99,10.835942
-73.571653,111,10.901449
-96.676385,93,10.948453
-179.36468,87,10.992379
-371.43333,124,11.051842
-191.032497,93,11.098474
-115.518947,140,11.168255
-122.400216,82,11.209337
-92.798635,98,11.260494
-51.36791,90,11.30521
-355.269132,135,11.390497
-53.44413,119,11.449811
-346.23358,156,11.525784
-260.236239,116,11.581795
-257.979742,119,11.642257
-201.763863,123,11.706507
-35.515717,74,11.742746
-295.231595,122,12.375758
-357.526087,113,12.438262
-393.061595,146,12.521378
-251.334729,160,12.610488
-248.126576,130,12.673362
-365.527466,172,12.772924
-116.792556,141,12.839649
-190.465042,113,12.894409
-316.18857,182,12.984373
-180.1545,149,13.057213
-276.051689,113,13.113907
6.78833,84,13.15523
-114.083227,147,13.226029
-316.732849,166,13.307918
-143.476208,85,13.350696
