#{"t_start": 1768685426.7193172, "env_id": "LunarLander-v3"}
r,l,t
-135.484772,87,2.254552
-122.77818,99,3.504299
-93.983101,97,4.725334
-101.02132,134,6.126031
-179.081851,92,6.480811
-91.946372,56,7.458724
-136.910305,60,7.695214
-137.022377,81,8.804469
-108.975107,66,9.957608
-46.425483,91,10.303717
-354.521814,104,11.434596
-255.757284,92,12.457559
-128.569398,104,13.619705
-92.742837,67,13.890015
-256.040427,103,15.200565
-239.324441,108,16.396078
-97.587987,92,16.746329
-123.811011,116,18.06601
-121.806521,105,19.236029
-361.328553,91,20.502508
-443.033183,92,21.566582
-125.530878,67,21.852948
-196.779565,69,23.055799
-194.798871,145,24.459171
-70.408213,106,25.759806
-73.546546,67,26.031299
-294.369326,90,27.144945
-230.861846,77,27.448805
-93.314424,59,28.474589
-77.119234,105,29.492484
-323.292426,88,29.837994
-270.900015,107,31.017055
24.531769,96,32.091628
-118.448791,95,33.351978
-135.15539,91,33.727758
-162.713759,119,35.047298
-165.48127,88,36.283267
-137.621174,89,37.461977
-290.210193,127,38.785339
-124.366919,111,40.012495
-112.424155,81,40.347025
-119.483845,77,41.5832
-186.876842,111,42.925815
-188.102984,114,44.146366
-87.231115,65,44.401982
-148.904778,126,45.490681
-190.591381,75,46.483506
-198.316755,72,46.787686
-84.660221,71,47.909183
-397.183465,94,49.067199
-106.493855,63,49.321082
-71.756597,127,50.779299
-130.975842,84,51.965457
-73.339673,108,53.169284
-72.80188,68,53.449902
-146.780418,97,54.495811
-164.877859,60,54.750359
-139.768288,80,55.791763
-175.83843,86,57.056033
-101.74675,72,57.343309
-114.90938,66,58.398921
-322.344102,113,59.550557
-181.088213,111,59.98149
-168.437009,87,61.153454
-125.001591,88,62.456305
-116.598084,145,63.766077
-52.801061,69,64.0315
-177.276154,103,65.240241
-282.05815,115,66.560031
-64.242331,78,67.643487
-214.774995,103,69.078776
-38.893914,129,70.366674
-110.153881,96,70.764029
-62.660524,65,71.759652
-44.298219,61,72.010471
-175.663454,74,73.231134
-278.849925,90,74.420073
-64.063609,98,74.817663
-129.85451,107,76.09327
-36.288529,98,77.271183
-113.282302,93,78.362672
-115.919518,108,79.540928
-110.78783,59,79.795989
-100.449093,86,80.86309
-261.161435,99,81.261615
-213.389973,121,82.49499
-232.092705,112,83.671926
-326.287916,92,85.072146
-83.967728,59,85.294617
-227.56849,110,86.544424
-348.834402,118,87.825943
-327.935057,79,89.036926
-65.007088,60,89.282584
-134.787172,128,90.584764
-260.145793,112,91.831241
-80.789684,116,93.180399
-142.148285,73,94.304415
-372.77233,104,95.516593
-65.639417,76,95.825717
-129.32659,100,97.036527
-195.731447,115,98.240841
-93.485106,75,98.543057
-32.793674,146,100.854888
-328.561292,108,101.27845
-114.401766,93,102.431267
-182.13248,95,103.670938
-414.773621,105,105.026795
-50.165072,65,105.274423
-93.360186,120,106.568938
-125.071333,79,107.741262
-235.975525,101,108.1565
-92.665599,86,109.317482
-166.162223,74,110.510507
-175.700502,72,110.781483
-86.021324,91,112.029984
-71.868971,99,113.290247
-136.902392,80,113.609348
-97.251731,111,114.946404
-227.303279,113,116.301378
-315.254385,100,117.51906
-400.964051,114,118.77597
-144.129515,65,119.034191
-282.94362,86,120.283376
-402.806297,134,121.643207
-291.249503,94,122.851679
-282.335695,125,124.187608
-351.921456,106,125.516802
-277.164899,103,125.931572
-81.120281,140,127.212009
-208.678685,78,128.430129
-176.168154,133,129.745981
-88.79487,65,130.795359
-349.939689,113,132.059694
-119.932782,80,132.362356
-68.472804,86,133.412756
-139.611714,67,133.682551
-470.20877,92,134.97901
-149.803072,83,136.125068
-283.471074,82,136.459374
-136.622737,95,137.612642
-120.969729,73,138.646565
-215.05214,87,139.008686
-284.138108,127,140.33006
-386.284874,108,141.654541
-209.630389,114,142.945801
-118.172491,114,144.151248
-162.575381,87,145.18392
-85.443591,68,145.45406
-236.143261,89,146.67741
-157.906398,86,147.81318
-173.62349,116,148.258149
-53.142488,71,149.368417
-289.158901,109,150.506231
-123.121702,59,150.748354
-98.674145,123,151.947829
-309.001586,109,153.037814
-94.903388,63,154.20395
-303.374912,119,155.478368
-258.968004,123,156.852674
-377.981578,105,157.259436
-412.408236,93,158.412755
-223.619436,116,159.732995
-150.110857,90,160.964937
-69.406518,124,162.285047
-72.617138,66,162.541649
-343.300588,80,163.703249
-121.079496,149,165.159429
-89.290153,73,166.154094
-279.250256,74,166.448438
-168.958601,87,167.68046
-128.660295,123,168.982361
-115.920764,106,170.067187
-375.586223,92,170.433142
-150.370764,102,171.785931
-404.75481,99,173.098553
-25.523379,103,174.186111
-176.836178,138,175.506668
-105.41998,80,175.82418
-129.1373,98,177.238801
-234.611089,121,178.470466
-92.621714,93,179.637233
-112.69697,124,180.840409
-340.810011,88,181.190211
-170.289598,66,182.210529
-121.865409,118,183.533027
-91.974306,91,184.792358
-130.040591,137,186.142569
-124.094237,60,186.405634
-244.836854,144,187.84952
-100.099001,72,189.014424
-183.037257,74,189.316612
-231.228532,79,190.4919
-167.962094,84,191.680366
-204.930971,132,193.066016
-338.39169,115,194.447089
-203.174745,122,195.707266
-101.508752,95,196.071673
-316.476663,119,197.402535
-80.630709,71,198.578275
-639.475586,122,199.98064
-33.723475,75,200.28029
-334.623808,111,201.52329
-214.136569,103,202.822286
-87.262368,109,204.048531
-267.999906,114,205.095482
-315.984653,161,206.674755
-87.882726,154,208.083507
-50.069515,63,209.105666
-192.742798,95,209.469558
-589.04638,78,210.685934
-466.438636,74,211.806422
-615.898674,105,213.09272
-795.906941,126,213.579196
-768.620311,107,214.907287
-527.04528,81,216.149509
-1822.866722,242,218.849032
-537.723058,81,219.156491
-1049.755311,173,221.568274
-485.807306,90,222.878686
-624.290809,87,223.214475
-729.573136,94,224.478274
-499.001926,81,225.690057
-467.236687,91,226.039919
-596.569321,105,227.43883
-1584.372838,224,230.197058
-542.387919,75,230.499883
-662.536549,93,231.789541
-1712.705627,234,234.483832
-629.608734,97,235.688918
-803.314812,132,237.10184
-572.755348,107,238.431062
-591.647386,100,238.828869
-540.594372,84,240.119317
-516.445435,75,241.318048
-2697.673132,286,244.170779
-673.422349,95,245.336109
-576.321419,76,245.638403
-688.954773,91,246.889838
-596.165549,87,248.189673
-469.304269,85,248.538281
-444.64834,91,249.74196
-502.442951,97,250.994983
-862.554935,115,252.25125
-715.137652,130,253.640415
-2084.054933,221,255.366988
-498.849069,89,256.636366
-480.611587,75,257.799564
-609.315152,89,258.150084
-650.48561,89,259.372175
-541.415851,79,260.342668
-673.306206,102,260.729481
-2512.496617,287,264.534563
-1140.88872,181,266.139717
-737.395572,103,267.315379
-1130.943026,166,268.856206
-1471.709059,199,271.330798
-1638.271715,187,272.860282
-669.718219,96,274.138299
-1165.942558,174,275.755898
-842.709106,116,276.972844
-1375.304444,189,279.429611
-2161.624031,252,282.280088
-644.139367,83,282.599796
-658.202928,93,283.895262
-827.96101,135,285.21223
-536.89237,80,286.372461
-546.376038,85,286.682977
-640.944011,84,287.796238
-664.223737,92,288.992313
-552.705133,77,289.310417
-3215.227402,320,293.098385
-527.816899,96,294.372582
-961.095843,128,295.669563
-431.249377,86,296.004328
-782.5634,101,297.250588
-575.926639,74,298.319195
-646.299998,117,299.705954
-1178.399908,156,301.174153
-838.239602,117,302.547829
-350.884238,86,302.882736
-1098.304069,178,305.327551
-907.109938,146,306.742871
-510.387255,89,307.934811
-1032.618165,129,309.275678
-939.363396,164,310.780859
-1486.724479,178,312.395109
-1681.500782,209,314.963749
-792.732718,137,316.346854
-488.017559,101,317.598492
-597.592334,101,318.836648
-1198.548757,173,320.41247
-673.167004,88,321.624034
-1089.094949,170,323.099052
-1236.013797,164,324.512727
-437.970341,76,325.716994
-2162.997783,255,328.455339
-733.781374,110,329.761384
-522.506479,105,331.027733
-592.484528,108,331.442724
-706.011317,137,332.842958
-1648.39661,248,335.574533
-752.38521,137,336.946811
-615.901255,95,338.187943
-461.397365,101,339.428916
-717.187341,100,340.774792
-662.437477,113,341.955878
-945.604967,130,343.317527
-638.743132,85,343.648118
-398.18906,84,344.804799
-420.767044,80,346.0884
-551.776736,89,346.440719
-761.881501,104,347.735829
-917.727168,131,349.103817
-544.799726,88,350.292149
-507.845643,93,351.523862
-832.922991,113,351.954713
-656.507546,99,353.217714
-714.511161,112,354.539551
-1133.638157,138,356.004366
-922.570559,120,357.352357
-698.395713,83,358.528353
-427.764338,75,358.816337
-594.044559,87,360.021182
-625.883242,100,361.328504
-600.827748,84,361.662288
-504.54087,84,362.932437
-586.939761,72,363.876992
-772.57033,120,365.128465
-1378.236874,172,366.691036
-444.297517,92,367.937302
-583.379042,97,368.327569
-660.361206,80,369.532859
-1202.373987,154,371.015623
-933.487849,126,372.404692
-764.672904,94,373.582312
-2108.739408,240,376.285884
-4382.267647,376,380.263215
-766.110916,126,381.703199
-635.076426,88,382.054651
-756.687697,111,383.336524
-1541.238849,210,385.94665
-1418.347908,176,387.483228
-1204.625787,152,389.809096
-367.997588,85,390.151916
-762.622229,118,391.5373
-2004.128703,264,394.334151
-630.360327,95,395.588477
-527.95361,72,395.869442
-532.512979,112,397.306987
-600.514607,91,398.565526
-858.976766,108,399.855604
-569.335216,91,401.064803
-770.471097,118,402.430518
-588.840881,74,402.731912
-535.42824,83,403.965446
-864.331907,152,405.416215
-515.407916,120,406.856343
-731.418866,105,408.092159
-883.183098,122,409.403284
-1028.38601,137,410.87914
-1030.256427,122,412.222702
-466.676991,97,412.623026
