#{"t_start": 1768667503.9245846, "env_id": "LunarLander-v3"}
r,l,t
-171.06793,71,1.88933
-158.319879,61,3.250595
-283.623148,80,3.553287
-87.784924,131,4.674964
-238.916967,91,5.870934
-115.017443,85,7.045964
-88.743154,86,7.38024
-203.690563,114,8.621121
-120.681448,64,9.726439
-112.404729,119,10.951961
-457.241179,110,11.295152
-130.415531,87,12.33509
-151.923218,120,13.531227
-421.318114,114,14.684957
-94.343831,64,14.926656
-74.118357,66,15.925951
-105.641604,101,17.110022
-185.550943,63,17.362623
-121.45759,75,18.430402
-263.256534,98,19.536878
-125.541785,117,19.983578
-154.923307,68,21.010072
-134.074498,84,22.10342
-220.258252,104,22.485696
-83.334184,66,23.446274
-78.097537,85,24.406406
-159.473326,106,24.788791
-149.456285,108,25.837929
-314.166742,114,26.924131
-158.937021,83,27.916003
-173.015884,120,29.057093
-106.308083,72,29.312691
-308.579639,103,30.390422
-131.060386,119,31.474399
-213.795793,77,32.508583
-283.002576,105,33.654626
-89.287877,106,34.015793
-100.34886,69,35.0216
-190.282234,54,35.211992
-184.320218,55,35.972986
-84.554198,65,36.196465
-464.162691,96,37.353804
-98.920224,67,38.178319
-75.520382,64,38.384332
-391.847333,102,39.529688
-85.342731,137,40.711903
-77.46503,116,41.864002
-97.968103,69,42.070703
-98.260601,62,43.025356
-136.914502,62,43.232047
-306.995261,134,44.581807
-367.232329,122,45.699253
-107.225929,70,46.673334
-126.660674,111,47.925392
-112.782022,78,48.196634
-321.230909,101,49.379937
-184.185644,95,50.588616
-114.786633,63,50.812338
-172.432555,82,51.905617
-252.484921,91,53.012867
-366.405313,90,53.314607
-237.086866,100,54.496034
-188.47623,83,55.603149
-232.202109,95,56.553439
-55.362068,67,56.792434
-182.357366,107,57.859458
-126.39061,61,58.082669
-298.796661,89,59.133586
-375.193886,86,60.130119
-107.970065,91,60.428299
-319.399082,86,61.465296
-110.786313,83,62.514049
-90.740589,58,62.720838
-79.985394,58,63.611196
-343.830584,107,64.829539
-366.119084,90,65.173862
-454.625353,98,66.449201
-93.457218,94,67.6274
-269.486018,94,67.97783
-330.363187,86,69.113846
-76.921514,69,70.208937
-334.71298,122,71.330122
-73.878615,92,71.633515
-232.295414,93,72.687735
-99.773946,69,73.617984
-86.304724,74,73.871954
-107.505831,89,75.025445
-440.690758,86,76.145024
0.118035,92,76.459994
-113.53968,95,77.579957
-232.374636,97,78.738864
-102.268001,86,79.040674
-232.757833,96,80.334851
-11.202648,119,81.566223
-254.587556,120,82.754339
-112.615875,66,83.811551
-254.821006,82,84.09728
-68.33508,66,85.045553
-153.661617,71,85.290476
-116.55933,115,86.324597
-106.4392,118,87.42198
-394.323976,122,88.729209
-235.636691,79,89.730958
-265.817929,63,89.968838
-295.822618,92,91.039953
-73.520191,131,92.114846
-139.39549,77,93.149505
-153.585004,95,93.48439
-222.991368,111,94.582084
-309.565708,84,95.651951
-86.821787,79,95.931947
-433.118905,93,96.971959
-86.395965,69,97.936263
-309.304202,76,98.216372
-109.809629,89,99.224049
-245.511963,124,100.46914
-135.080669,56,100.672701
-227.339541,95,101.755547
-113.267704,88,102.810937
-138.97307,115,103.978214
-107.405163,116,105.12994
-117.984594,106,105.528702
-484.167932,94,106.63462
-436.874091,107,107.758105
-148.784482,83,108.815098
-104.550118,123,109.949926
-331.867342,87,110.281598
-408.184534,86,111.329947
-126.655141,90,112.202159
-194.964657,108,113.273227
-98.765711,95,113.605576
-359.714311,93,114.660345
-111.484633,76,115.686486
-84.125551,71,115.942532
-149.489357,105,117.172085
-138.45935,116,118.501258
-94.013866,83,119.532341
-194.130379,81,119.823624
-166.9357,151,121.214103
-74.661439,76,122.146599
-229.108475,96,123.148057
-103.171792,101,123.481133
-125.599762,71,124.419194
-312.721003,68,125.350867
-168.219851,124,126.597311
-364.742028,79,126.851491
-90.997484,71,127.76598
-101.247506,110,128.963279
-402.666617,103,129.314541
-78.884068,70,130.305166
-327.243558,86,131.341509
-58.862714,78,131.608572
-220.156655,83,132.692335
-75.344002,69,132.947794
-100.293366,81,133.990816
-351.927521,112,135.13926
-117.870271,107,136.229456
-17.479039,94,136.568633
-58.787313,92,137.632627
-121.10288,105,138.833431
