#{"t_start": 1768915006.2211082, "env_id": "LunarLander-v3"}
r,l,t
-100.286087,63,1.519459
-70.59187,87,1.678972
-217.137621,64,1.766336
-256.335628,74,1.894625
-128.666208,124,2.087635
-80.190673,87,2.200082
-110.182705,109,2.381512
-123.002348,77,2.517365
-293.544615,88,2.673812
-206.645758,120,2.842917
-147.627538,78,2.980873
-161.318791,63,3.087402
-146.539861,81,3.199663
-137.389768,92,3.343698
-369.00156,109,3.508034
-228.022425,114,3.669551
-81.034551,74,3.783357
-155.112446,72,3.920135
-554.636443,125,4.125003
-114.43754,111,4.302549
-156.752634,129,4.509488
-287.250248,101,4.652267
-82.871904,110,4.833152
-315.506523,102,5.000333
-133.502608,110,5.186207
-96.119815,81,5.325146
-173.520625,111,5.480309
-211.299442,81,5.619517
-139.10325,93,5.781173
-213.359828,126,5.985514
-224.423934,96,6.153079
-67.35971,60,6.234979
-68.132243,92,6.396922
-188.208071,84,6.514644
-298.952078,100,6.685305
-79.114744,61,6.786974
-77.895736,75,6.898835
-194.37963,75,7.03636
-233.320919,122,7.235992
-136.258899,75,7.350442
-89.284504,116,7.531471
-202.158578,69,7.666468
-433.941734,77,7.778229
-195.467741,120,7.965258
-209.046061,108,8.167995
-134.199623,62,8.278843
-182.414886,126,8.484002
-315.232391,132,8.697574
-242.219827,118,8.896163
8.764019,112,9.05094
-329.99882,94,9.200531
-144.783479,93,9.369234
-79.715643,73,9.488741
-144.587694,78,9.609526
-332.10066,81,9.753477
-181.351184,151,9.985802
-113.481418,83,10.136925
-247.724415,138,10.357064
-56.216507,75,10.471202
-195.052283,111,10.662951
-265.783314,131,10.883661
-77.045458,64,11.005217
-80.621787,77,11.119605
-324.500064,104,11.285682
-202.895451,130,11.502789
-277.079875,130,11.702552
-164.265441,79,11.918199
-108.845469,139,12.346623
-88.214746,84,12.558148
-68.346123,85,12.87559
-132.724748,127,13.2465
-247.325762,102,13.595699
-302.163944,183,14.195562
-236.797483,125,14.605431
-67.860371,73,14.857901
-90.023887,84,15.116419
-267.50943,107,15.386216
-25.095216,149,15.875575
-287.596632,117,16.204743
-121.122876,95,16.527323
-79.144765,112,16.910152
-156.103904,100,17.270877
-117.859252,85,17.607914
-162.585966,138,18.009373
-83.198548,193,18.645697
-106.389506,108,18.991283
-163.856833,122,19.380171
-127.981628,102,19.76218
-86.362965,89,20.020648
-106.842503,107,20.386115
-104.289666,95,20.70753
-91.60221,82,20.979379
-94.4245,101,21.232694
-86.146547,68,21.500396
-73.673244,93,21.806516
-80.412197,101,22.103693
-124.58557,111,22.420535
-18.805567,74,22.685929
-354.793582,115,23.044664
-56.940441,94,23.318995
-76.538565,113,23.591704
-251.065824,170,24.156401
-208.412635,124,24.533922
-187.692539,128,24.917367
-117.369372,95,25.15582
-270.441961,129,25.53941
-135.165677,90,25.827086
-224.030604,98,26.147109
-69.542269,95,26.450209
-417.010227,157,26.93977
-199.145747,174,27.407222
-243.613912,155,27.851988
-254.343333,134,28.350511
-129.303875,93,28.575822
-194.363911,98,28.902699
-224.992132,150,29.370837
-148.102383,120,29.798893
-50.447166,72,30.053579
-215.669721,117,30.435227
-444.684759,179,30.949869
-162.214389,165,31.437747
-14.779661,113,31.803021
-180.883915,169,32.32854
-73.258914,182,32.893744
-13.275335,157,33.376164
-157.747602,99,33.682392
-107.162341,184,34.20345
-139.70345,124,34.659842
-274.12863,119,35.022083
-66.618775,114,35.376088
-150.187608,179,35.928761
-153.98852,121,36.265482
-395.816966,150,36.825509
-98.753392,101,37.091424
-120.728896,132,37.497003
-128.846212,102,37.835187
-63.980939,98,38.168871
-258.565324,182,38.704997
-1084.421414,249,39.982272
-1876.722101,266,40.858631
-1429.544462,287,41.823896
-1908.711312,284,42.775147
-982.169809,259,43.694212
-2616.784316,322,44.755977
-2075.852204,305,45.752036
-1305.844132,271,46.520889
-2152.615947,294,47.328302
-1829.027252,306,48.200704
-3654.314137,397,49.364723
-1022.136824,241,50.011971
-681.536324,260,50.713939
-1074.045838,260,51.449343
-2288.407932,306,52.202434
-2122.985626,278,52.954149
-1699.931476,232,53.744034
-1261.454983,190,54.436727
-804.052569,274,55.338054
-2245.410657,298,56.226886
-1383.526368,198,56.883682
-1490.387588,254,57.750105
-1137.556335,196,58.406734
-977.667248,280,59.288965
-2201.363245,322,60.378276
-932.705384,270,61.324862
-2200.91253,268,62.111702
-1184.991795,201,62.816314
-641.755497,268,63.732297
-2154.543615,317,64.692249
-1282.304735,203,65.332476
-1277.852839,238,66.100883
-818.155178,234,66.764161
-1321.540076,278,67.683576
-1699.480079,257,68.473968
-2282.620198,291,69.331679
-1142.870185,248,70.196699
-1050.283798,214,70.863456
-1274.879807,245,71.621165
-2584.646328,329,72.692159
-1048.602534,252,73.476172
-905.377497,247,74.295903
-1517.028616,234,75.064379
-2853.226192,338,76.123286
-2032.837321,258,76.935654
-810.951274,272,77.835494
-1037.761975,215,78.486083
-2225.39262,273,79.371194
-1052.760344,214,80.076135
-801.717338,273,80.705023
-1948.577595,241,81.377851
-575.964301,266,82.207363
-1498.104422,278,83.05747
-1419.30421,232,83.80961
-2163.967896,272,84.691099
-1692.557924,308,85.732877
-1235.909478,259,86.592487
-161.169491,202,87.161881
-257.750312,193,87.818363
-217.428073,171,88.401819
-444.907641,152,88.951348
-180.093904,98,89.304713
-70.101523,153,89.840711
-196.775038,139,90.334399
-192.162877,97,90.724127
-210.15706,110,91.08505
-241.896868,120,91.518192
-46.977409,136,91.917822
-153.04244,147,92.433806
-75.957873,97,92.7983
-105.602428,154,93.33348
0.663803,153,93.900347
-97.591234,109,94.270134
-85.553302,108,94.65013
3.621731,117,95.066387
-33.67036,144,95.540514
-273.516971,221,96.283602
-109.052725,220,97.000042
-182.5924,182,97.66646
-18.169317,106,98.079536
-105.896258,191,98.666243
-115.838177,120,99.122691
-39.771497,131,99.533078
-77.142712,116,99.914886
-36.342352,199,100.593254
-103.36805,119,100.920841
-90.516273,170,101.519168
-171.49061,163,102.043637
-257.818995,267,102.825891
120.30179,1000,105.727944
-79.568557,210,106.364959
21.199485,252,107.182209
113.905807,1000,110.087831
-14.399056,142,110.5514
-26.121168,211,111.116447
-19.197971,158,111.618041
-31.329723,160,112.133535
-51.805982,337,113.023916
-28.393705,279,113.816367
-49.991614,414,115.046889
-102.303203,358,116.035083
27.531633,183,116.580221
97.691087,1000,119.313626
-0.652847,186,119.822922
41.616561,205,120.429592
109.691889,1000,123.298105
-82.208314,265,124.064938
0.287131,248,124.815364
-37.930731,286,125.710887
52.996301,1000,128.663668
-147.657404,232,129.324295
24.419636,1000,132.155537
-551.275453,818,134.796284
-442.045786,478,136.234613
-357.396673,405,137.610833
-400.275156,466,139.106003
-656.633037,788,141.735569
-590.515305,694,143.976244
-632.473853,739,146.431062
-406.473473,436,147.826435
-736.74006,962,150.844598
-502.950774,554,152.726008
-603.220909,771,155.121359
-285.188106,338,156.182085
-724.595132,909,159.205577
-187.102746,251,160.015908
-543.537607,597,161.821678
-488.883469,535,163.502373
-667.520434,872,166.255377
-701.319032,946,169.229949
-569.342014,691,171.422926
-409.155198,471,173.014492
-558.449989,679,175.008291
-579.996243,688,177.101309
-554.943045,661,179.141098
-424.222273,694,181.291908
-30.037449,315,182.200935
-67.481732,304,183.145159
82.166643,1000,186.180889
78.078032,1000,189.331681
39.279827,1000,192.66831
111.236593,1000,195.689871
84.606306,1000,198.726107
45.729398,1000,201.795232
76.107225,1000,204.746567
-124.399713,1000,208.090199
-5.991678,1000,211.122341
-52.280572,1000,214.273935
-42.284051,1000,217.511987
-112.521906,1000,220.717856
-58.772521,1000,223.824263
-91.574594,1000,227.087209
-105.670377,1000,230.357462
-181.800188,1000,233.576152
-143.898723,1000,236.84345
-302.403293,912,239.828832
-230.939386,1000,243.094841
-139.28118,1000,246.250407
-122.751671,1000,249.473909
-196.898317,1000,252.609519
-131.700295,1000,255.806384
-224.81925,1000,258.988783
-181.611932,1000,262.033146
-263.23465,767,264.466847
-90.331401,1000,267.599079
-150.127624,1000,270.73114
-111.283951,1000,273.895199
-89.187911,195,274.526853
-94.563895,1000,277.735396
-50.848779,1000,280.569893
-82.616381,1000,283.723654
-183.960317,285,284.544601
-160.298467,347,285.55782
-112.535302,1000,288.589913
-113.539022,1000,291.475338
-158.835615,214,292.114382
-80.151306,1000,295.133615
-196.450415,305,296.022507
-135.528174,193,296.642103
-120.384954,202,297.21367
-40.882411,1000,300.0527
-67.238842,1000,303.008279
-90.716756,195,303.566188
-17.380766,1000,306.588313
-112.736587,260,307.406511
-26.123854,1000,310.30484
-57.117556,1000,313.170886
-87.206505,1000,316.022665
-91.059081,1000,318.841778
-96.882357,1000,321.973118
-180.061526,515,323.657393
-155.695251,183,324.263893
-114.120536,1000,327.592499
-40.127063,1000,330.827081
-131.325819,1000,334.095709
-203.313881,279,334.96303
-84.561114,1000,338.216086
-124.142551,1000,341.491503
-138.232665,1000,344.806584
-183.420228,264,345.654212
-152.36665,161,346.204014
-141.257,140,346.66781
-114.198248,1000,350.108593
-110.145905,1000,353.367215
-281.640101,980,356.650921
-135.154175,1000,359.90701
-127.761835,1000,363.206203
-126.101298,197,363.85591
-165.782321,172,364.427784
-180.890779,230,365.185155
-122.749757,1000,368.485477
-166.519555,1000,371.666843
-122.09934,159,372.190297
-158.630121,468,373.605609
-161.222923,451,375.15779
-177.178621,186,375.759813
-176.855298,171,376.36127
-229.786455,287,377.239119
-179.320268,319,378.311084
-174.467648,155,378.913252
-154.746,478,380.530194
-150.065149,503,382.225389
-191.090039,237,383.055081
-162.82502,485,384.638527
-167.430507,201,385.343024
-148.711219,104,385.629284
-162.708959,214,386.322276
-193.687008,170,386.866684
-171.278302,585,388.792188
-143.68778,177,389.326244
-171.185391,255,390.138694
-150.844003,191,390.78928
-190.635822,234,391.538071
-173.927623,358,392.592155
-169.81199,585,394.583879
-177.148018,306,395.56984
-210.898259,301,396.635922
-163.686779,313,397.651708
-172.950091,215,398.368112
-164.075383,154,398.838027
-180.682757,325,399.890718
-156.948666,638,401.918052
-142.977628,164,402.408023
-177.526132,239,403.180931
-139.495187,146,403.618738
-170.28344,163,404.122756
-154.685384,428,405.487956
-192.378531,289,406.519527
-150.765561,152,407.004567
-176.641041,369,408.272751
-178.431087,360,409.439057
-157.703326,127,409.880963
-169.859876,387,411.105604
-158.96484,394,412.388673
-184.451154,272,413.251881
-184.517031,220,413.972917
-154.200916,357,415.138656
-172.953272,305,416.169155
-148.88899,160,416.647671
-159.940214,177,417.207684
-211.737806,253,418.009214
-149.534459,184,418.653054
-165.756401,157,419.152794
-185.363705,268,420.019159
-202.680709,252,420.866873
-147.165714,140,421.330806
-193.665753,230,422.031667
-145.583397,152,422.465073
-187.615156,320,423.510439
-180.591687,337,424.57115
-165.475463,198,425.168932
-179.730541,239,425.921584
-196.788598,208,426.6636
-162.689182,164,427.242996
-226.834811,263,428.099633
-155.093255,147,428.570309
-203.984757,192,429.156129
-210.507359,242,429.93362
-157.877884,182,430.533237
-128.246019,443,431.930936
-163.137992,135,432.358202
-175.841093,176,432.880334
-205.149715,320,433.945714
-161.416966,329,434.958633
-158.565953,153,435.423649
-167.860293,160,435.898192
-157.646517,142,436.33066
-202.516062,265,437.203436
-164.939673,392,438.401662
-157.185934,125,438.813688
-153.346421,190,439.472281
-216.886058,297,440.349654
-195.487914,204,441.020547
-208.127337,251,441.812448
-209.649161,206,442.487157
-158.049623,186,443.146175
-189.266431,308,444.15724
-160.187152,200,444.870423
-176.495334,171,445.403405
-168.045576,355,446.653287
-188.832521,229,447.443677
-171.385762,132,447.883628
-188.874564,295,448.903604
-161.90155,141,449.336557
-201.462091,271,450.203621
-205.697588,274,451.16301
-139.541351,138,451.603467
-198.688455,330,452.753214
-201.911189,209,453.437132
-180.454233,154,454.003779
-231.543842,231,454.830785
-154.965272,130,455.290808
-221.344085,195,455.903386
-151.765513,398,457.286574
-194.269331,164,457.868239
-156.226778,158,458.402986
-174.384861,218,459.103376
-178.189534,168,459.736834
-164.477562,344,460.919909
-176.387619,175,461.54779
-190.009332,217,462.252795
-170.026833,198,462.952825
-212.236579,196,463.636633
-149.512258,128,464.12058
-163.108733,175,464.703924
-167.87617,160,465.219574
-151.474589,114,465.636112
-171.562038,349,466.868656
-148.807459,127,467.303111
-162.609162,175,467.854708
-183.094265,205,468.519493
-184.797465,187,469.135183
-175.46645,175,469.837147
-133.568531,118,470.186344
-143.907559,156,470.786123
-176.250165,341,471.869307
-210.162045,282,472.855504
-175.793468,222,473.569338
-182.710652,185,474.212492
-180.70305,236,475.033352
-162.115703,369,476.269032
-157.619812,151,476.802231
-185.034421,197,477.485702
-154.096227,374,478.786212
-207.68198,238,479.569266
-202.403309,249,480.50284
-192.794914,657,482.563479
-191.753886,268,483.476294
-149.467681,130,483.853225
-151.748274,164,484.340353
-164.49627,397,485.677786
-199.762405,217,486.308783
-209.302159,220,487.06662
-173.486871,310,488.067876
-134.831987,146,488.517918
-195.45904,209,489.294423
-171.845471,288,490.228296
-179.35054,373,491.457714
-181.962207,225,492.199472
-161.6791,143,492.625475
-171.71573,246,493.360552
-156.029454,138,493.75998
-154.961654,542,495.518567
-173.937997,144,496.061555
-185.087606,261,496.884925
-168.876906,568,498.611794
-147.991372,518,500.194775
-174.639743,137,500.595418
-165.263414,143,501.021807
-168.687363,163,501.652718
-172.786372,171,502.145632
-175.879523,176,502.691502
-183.986041,253,503.464454
-171.930434,539,505.196367
-177.910483,472,506.651599
-195.53626,665,508.768193
-207.456603,258,509.569462
-204.872239,236,510.342459
-184.583878,219,511.031519
-175.184014,179,511.579314
-204.897156,822,514.266697
-158.1608,145,514.71368
-109.03942,596,516.552221
-185.018644,224,517.29912
-147.032474,145,517.792104
-216.49285,233,518.54772
-199.731159,233,519.430255
-202.657298,285,520.35498
-177.563965,153,520.901366
-183.652297,325,521.988638
-181.977304,330,523.048478
-182.790755,254,523.853776
-215.644652,224,524.530546
-177.210096,124,524.921638
-199.368662,308,525.948593
-214.523021,273,526.914732
-175.864272,170,527.476827
-187.685041,268,528.437762
-159.517861,159,528.964436
-188.901484,259,529.803783
-173.10008,129,530.270932
-158.919945,353,531.455137
-186.462234,317,532.630765
-164.247102,142,533.167278
-206.100325,216,533.888582
-202.913369,215,534.589167
-199.926326,180,535.216503
-184.582092,161,535.704716
-179.307227,355,536.880641
-179.630751,177,537.415484
-203.765561,191,538.075212
-179.058935,171,538.662793
-185.073448,200,539.286098
-168.809824,330,540.524295
-182.514297,349,541.682641
-198.764587,227,542.389858
-192.176627,326,543.394158
-192.45705,128,543.844513
-229.910011,203,544.514999
-211.835744,196,545.161306
-174.413231,327,546.225816
-200.231533,179,546.840501
-182.71418,272,547.699834
-148.595163,122,548.130139
-199.672081,266,549.045805
-152.366168,356,550.22788
-157.792876,366,551.394063
-197.349878,304,552.326131
-211.799265,256,553.139582
-167.97083,361,554.258596
-180.732425,115,554.626751
-178.332399,334,555.699984
-202.945379,204,556.312866
-208.592265,284,557.174736
-151.452354,352,558.339731
-154.859253,384,559.475772
-221.890557,225,560.245869
-204.007079,260,561.075692
-217.324703,195,561.716143
-164.003898,327,562.757839
-169.131319,332,563.856215
-187.871894,341,564.929218
-158.775333,300,565.898702
-186.398547,285,566.792867
-185.142201,305,567.681732
-180.599135,317,568.477309
-179.926379,248,569.23594
-165.374607,274,570.178584
-199.57249,223,570.885972
-167.431685,309,571.828821
-179.137681,150,572.274331
-169.116835,252,573.093361
-192.730497,227,573.8108
-185.865511,150,574.274187
-179.85357,188,574.819127
-183.071762,227,575.59705
-160.335601,131,576.024263
-173.468705,142,576.456636
-176.056481,273,577.428376
-186.012738,238,578.17178
-200.455167,217,578.859935
-174.680615,273,579.690179
-188.607189,262,580.490311
-166.523836,140,580.93453
-172.524276,127,581.3377
-217.319335,199,582.027635
-183.636462,272,582.981436
-166.923269,115,583.35461
-176.483666,134,583.774922
-156.338263,118,584.181195
-188.266673,273,585.05744
-165.972394,272,585.963408
-174.435154,269,586.861202
-172.794499,257,587.728732
-157.372389,107,588.073121
-172.373311,138,588.565749
-160.331377,300,589.677089
-159.805547,127,590.092657
-175.640865,133,590.499509
-206.474992,211,591.195737
-152.439825,98,591.512906
-191.807977,235,592.229607
-170.213826,118,592.579617
-181.628994,154,593.064672
-160.755096,271,593.92189
-192.896861,164,594.453362
-158.188649,295,595.463396
-155.084634,125,595.864876
-176.385701,137,596.263505
-165.409983,291,597.223009
-191.676067,221,597.914882
-183.681752,236,598.697853
-191.303015,205,599.397989
-169.397049,124,599.80405
-184.488793,245,600.587817
-170.773989,109,600.975506
-201.044537,194,601.645102
-175.167435,267,602.527108
-147.301876,315,603.575741
-181.319483,214,604.257689
-166.530235,263,605.081754
-193.588662,148,605.526478
-197.895011,197,606.108921
-157.497606,307,607.110535
-204.17275,199,607.719994
-154.236153,292,608.714549
-192.010376,202,609.315114
-217.511796,185,609.917039
-228.296212,208,610.601196
-183.476024,194,611.344104
-188.933628,254,612.194956
-164.360263,321,613.196935
-166.584164,137,613.660033
-163.903914,297,614.685292
-147.826664,312,615.694299
-162.395373,121,616.041195
-186.686404,228,616.870603
-164.411525,318,618.040879
-159.930105,109,618.477402
-181.890009,206,619.209864
-156.056515,351,620.27464
-210.172678,217,621.020062
-196.670282,305,621.98008
-192.973292,252,622.746743
-160.238738,139,623.196452
-191.741721,209,623.907902
-193.016153,259,624.704364
-222.639383,204,625.359743
-165.398904,303,626.285327
-191.425853,149,626.760585
-203.522526,293,627.754111
-210.207176,217,628.447494
-183.275195,188,629.063851
-197.38098,244,629.859245
-192.305469,290,630.759791
-186.551128,258,631.590438
-181.21779,144,632.022989
-208.23409,232,632.74626
-180.380212,143,633.18764
-168.43252,320,634.300352
-164.03544,368,635.4396
-193.115951,235,636.275184
-218.580601,181,636.926676
-188.064198,262,637.825025
-169.87243,131,638.276944
-197.524762,171,638.820909
-181.367086,222,639.622959
-193.928595,262,640.480977
-186.398023,184,641.067008
-175.283949,286,642.026008
-206.828767,157,642.560718
-213.31682,220,643.312199
-191.181473,183,643.944653
