#{"t_start": 1768914439.8295739, "env_id": "LunarLander-v3"}
r,l,t
-100.35067,73,2.19774
-139.455345,65,2.317807
-195.178104,82,2.44381
-175.921229,81,2.597476
-210.506719,68,2.692894
-312.300977,87,2.846462
-279.609489,95,3.012036
-95.835598,73,3.117066
-45.777621,65,3.231157
-159.442281,74,3.342188
-138.20333,88,3.504406
-171.112855,111,3.680922
-309.824391,95,3.849145
-127.618318,92,3.984221
-137.583396,66,4.098814
-151.087594,66,4.216434
-313.499966,104,4.376038
-101.005076,64,4.504891
-336.648694,79,4.616897
-72.352082,59,4.72775
-306.673406,129,4.94752
-105.021557,72,5.065275
-328.42608,92,5.245273
-126.983862,72,5.376843
-32.093312,138,5.59957
-109.463024,77,5.714594
-106.597468,61,5.83333
-235.76975,82,5.984157
-303.104092,89,6.112326
-68.90517,70,6.247222
-87.110741,89,6.37409
1.229505,130,6.594102
-108.676307,64,6.712502
-119.657201,90,6.877054
-361.496876,104,7.054462
-338.435621,131,7.271516
-316.390308,89,7.417804
-271.977167,124,7.6322
-102.454746,131,7.863155
-81.941708,75,8.015499
-98.488979,78,8.131825
-126.202134,94,8.299808
-150.968575,88,8.46126
-66.87784,173,8.744419
-114.026201,81,8.881471
-83.384958,81,9.009591
-146.738438,94,9.165911
-319.009247,82,9.354605
-372.075625,127,9.598538
-74.996718,105,9.778654
-77.366704,73,9.877968
-110.564044,119,10.099319
-184.222908,99,10.266486
-218.70824,102,10.450784
-156.490315,134,10.68231
-281.426277,98,10.87235
-107.019198,89,11.000175
-148.47385,89,11.170158
-452.541929,132,11.397245
-242.264544,126,11.600582
-159.745407,108,11.796572
-140.18505,123,12.007616
-57.11276,87,12.131554
-304.070791,126,12.352176
-62.253566,89,12.517168
-125.404323,90,12.680739
-271.260368,89,12.809845
-87.785317,70,12.931203
-59.297933,79,13.081598
-82.268346,118,13.281846
-330.880796,146,13.531122
-67.217266,83,13.648564
-246.149633,121,13.886484
-147.198891,119,14.09633
-132.179739,86,14.248576
11.829643,99,14.42231
-146.397542,142,14.657633
-56.793283,90,14.819844
-169.864179,106,14.982206
-146.780489,125,15.181348
-236.846759,95,15.347938
-82.241413,95,15.528738
-134.761952,95,15.697422
-211.468875,107,15.889065
-331.960413,153,16.201171
-43.421657,88,16.345675
6.70505,195,16.710588
-231.018323,176,17.003012
-10.665411,102,17.165308
-99.836845,80,17.315256
-49.588429,99,17.464662
-263.543415,136,17.698467
-50.558511,84,17.846884
-164.401443,107,18.014617
-31.245659,101,18.2026
-498.397016,168,18.463774
-446.727196,81,18.607509
-294.928722,143,18.831404
-56.141096,142,19.064418
-20.883472,80,19.181799
-70.329776,73,19.314665
-146.752399,133,19.531102
-66.860722,99,19.69782
-230.198117,134,19.929193
-75.420037,157,20.188514
-61.17063,86,20.338008
-40.582192,75,20.449973
-207.411767,99,20.616509
59.931353,1000,23.512404
-322.378764,173,24.044367
-157.825813,114,24.501103
-86.679541,118,24.862147
-107.707119,119,25.228884
-274.412586,126,25.659691
-134.629597,150,26.159741
-111.725684,124,26.583709
-259.106689,133,27.012757
-218.951364,114,27.348126
-47.705338,205,28.044605
-98.242299,180,28.572429
-199.839006,99,28.930309
-275.35805,141,29.363158
-175.479484,119,29.714853
-266.910227,116,30.081661
-236.910424,119,30.435904
-44.713229,74,30.647979
-74.238556,121,31.06569
-92.405348,96,31.369003
-206.053816,100,31.72981
-28.746608,99,32.102899
-488.18155,156,32.559664
-32.775559,115,32.973886
-241.023432,174,33.489209
-411.764377,111,33.861027
-670.632425,98,34.442611
-603.998448,92,34.711571
-947.879762,390,35.941508
-682.259922,123,36.361084
-435.60244,83,36.623735
-402.193849,86,36.89694
-471.85711,77,37.179631
-662.972555,89,37.445406
-457.28388,83,37.672826
-509.710658,99,37.967377
-643.19925,93,38.296121
-3065.069486,527,39.978208
-826.813642,285,40.872238
-1860.117776,398,42.098621
-652.238279,89,42.397301
-311.422666,99,42.728425
-644.857314,127,43.13417
-924.859971,268,43.948601
