#{"t_start": 1768917393.0013957, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
-389.534005,117,1.046747,0.29280415
-133.82286,123,1.125162,0.66789025
-171.700786,89,1.210799,0.7653609
-359.370827,82,1.80315,1.0779217
-188.384894,129,1.923477,0.59643996
-292.903764,175,2.540775,1.5003868
-232.614036,81,2.614869,0.17779544
-255.72427,208,3.739418,0.24877784
-237.992099,97,3.840515,0.0069020446
-488.60342,144,4.447669,0.43467203
-4.417238,133,4.584676,0.07456767
-208.453349,132,5.178816,0.557061
-244.124971,114,5.752487,0.11956787
35.130168,211,6.422944,0.058772042
-122.981105,185,7.071463,0.27473086
-431.509988,162,7.237476,0.40959412
-346.115381,140,7.838529,0.3520127
-292.976149,122,8.420134,0.24909095
-523.581488,176,9.060652,0.008687129
-284.127905,169,9.233525,0.036171056
-231.873739,189,9.882702,0.009440605
-229.310544,182,10.526827,0.23433775
-293.544259,162,11.150439,0.26733255
-317.698289,167,11.77931,0.12598172
-304.567687,435,13.140038,0.06411249
-203.006923,190,13.793796,0.13636455
-155.9132,175,14.431654,0.006055648
-163.794829,466,15.826398,0.39454338
-224.596834,341,17.093929,0.17027949
-296.808432,259,17.816967,0.07476027
-277.940846,887,21.017319,0.09261072
-436.647567,331,21.816639,0.19589004
-272.744541,180,22.458445,0.023072146
-285.041357,304,23.684798,0.15876068
-232.39994,243,24.38941,0.08725887
-228.497067,375,25.69306,0.18763392
-50.188609,1000,28.919348,0.07107744
-317.483568,611,30.855853,0.047790963
6.519458,1000,34.067387,7.137676e-05
-20.967494,1000,37.288348,0.019279232
12.434604,1000,40.497021,0.08736667
-235.959316,882,43.142755,0.17088024
-26.340505,1000,46.346337,0.05791332
-68.630358,1000,49.547602,0.09443973
-12.67938,1000,52.756647,0.017788868
-64.780262,1000,55.991575,0.029354554
-20.460881,1000,59.240746,0.06682752
-25.37552,1000,62.553789,0.082350776
-1.609132,1000,65.856854,0.092283875
-52.320366,1000,69.161647,0.031404708
-15.950604,1000,72.468876,0.024650685
-47.144199,1000,75.754482,0.0075545413
-26.986248,1000,79.002713,0.004700751
-9.154831,1000,82.237324,0.026121702
-240.685981,966,85.425874,0.028268624
-105.974224,1000,88.643148,0.028511724
-46.787406,1000,92.133302,0.04902222
-50.798559,1000,95.438887,0.017412556
-10.524584,1000,98.74522,0.07891324
-80.608318,1000,102.053896,0.028577128
-61.816697,1000,105.360733,0.01386301
-68.053008,1000,108.67481,0.004577086
-51.943649,1000,111.985998,0.07087149
-63.721157,1000,115.297287,0.014787517
-85.393792,1000,118.605264,0.046364862
-48.732133,1000,121.900581,0.027737288
37.546396,1000,126.250364,0.051196024
77.770146,1000,129.597726,0.101834305
17.012678,1000,132.939442,0.042106166
44.109155,1000,136.227279,0.04220779
49.345191,1000,139.500505,0.051961694
34.798722,1000,142.721452,0.04084937
54.548769,1000,145.985749,0.051459886
111.659174,434,147.801172,0.049254082
52.220124,1000,151.076954,0.05484678
57.858557,1000,154.359773,0.038636163
80.596815,1000,157.665148,0.080584854
28.058799,1000,160.968052,0.05003906
36.905536,1000,164.271007,0.0742388
61.359951,1000,167.575149,0.09059427
46.870789,1000,170.877486,0.048542928
60.335549,1000,174.180313,0.06664754
142.48795,871,176.893085,0.0157404
74.529233,1000,180.197494,0.024276208
33.837574,1000,183.499074,0.06652333
47.201376,1000,186.802831,0.05553132
28.658888,1000,190.107954,0.043683413
88.404562,1000,193.414366,0.058323536
79.432992,1000,196.716451,0.058603827
58.911731,1000,199.995231,0.048447054
18.550667,1000,203.304435,0.0060008634
74.995194,1000,206.6062,0.04932346
61.143803,1000,209.863155,0.06562045
67.901443,1000,213.149914,0.052940957
78.515746,1000,216.369709,0.07134574
56.918479,1000,219.687286,0.05146688
31.324192,1000,222.998266,0.07163288
-17.138777,1000,226.217948,0.060529195
107.070257,885,228.847885,0.011784237
42.282421,1000,232.100101,0.04768343
31.083547,1000,235.402584,0.058765642
65.088203,1000,238.704669,0.098837025
72.779587,1000,242.006837,0.04415952
-13.66549,1000,245.309627,0.025957514
42.227719,1000,248.817035,0.056849804
-123.828899,558,250.759228,0.03383343
-81.336369,1000,254.142179,0.059258003
-64.359164,1000,257.350358,0.09523419
-90.512593,1000,260.560593,0.0924897
-72.777746,1000,263.767614,0.018843925
-15.364782,1000,266.974816,0.056478254
-56.643583,1000,270.178992,0.07143792
-71.284561,1000,273.382744,0.050658286
-110.852354,1000,276.588295,0.0025232236
-26.525948,1000,279.797599,0.011895636
