#{"t_start": 1768914618.9225135, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
-348.760644,89,3.07795,0.74002403
-106.373564,119,3.169658,0.24183916
-458.179573,136,3.385877,0.32583433
-139.223578,169,4.196573,0.47615412
-141.711698,104,4.880193,0.15401712
-345.062747,94,4.989312,1.2587869
-352.601768,81,5.082777,0.6520379
-154.456454,100,5.781289,0.6796169
-135.048917,88,5.882576,0.90419
-311.638252,136,6.637702,0.20336264
-71.233713,77,6.757087,0.4001246
-461.84545,162,7.553862,0.17896119
-252.608633,80,8.244273,0.20296004
-194.538752,84,8.383579,0.10731105
-247.664866,124,9.167099,0.09935593
-17.342178,97,9.314642,0.012853207
-347.95864,106,9.984593,0.10262918
-185.238945,102,10.089777,0.19964239
-284.957696,121,10.69822,0.18452676
-367.183315,156,11.364494,0.14574555
2.600727,107,11.46251,0.017203046
-144.677913,120,12.016673,0.09488453
-314.979822,201,12.651428,0.22753072
-290.452868,215,13.314954,0.17119978
-247.519921,170,13.933627,0.15457481
-54.458489,156,14.093536,5.9009402e-05
-380.564559,196,14.739236,0.0563911
-83.262231,147,15.332131,0.5297949
-251.740865,210,16.000807,0.0049393345
-280.072994,121,16.573052,0.059238315
-303.11453,174,17.209832,0.07421624
-89.715604,121,17.32774,0.45037422
-262.700936,176,17.93099,0.012241083
-250.099268,241,18.595103,0.14840464
-114.865402,191,19.211165,0.39188248
-30.821214,153,19.791321,0.34522066
-223.442166,204,20.418357,0.08368596
-200.796022,193,21.033901,0.052151877
-371.852933,206,21.669662,0.30472717
-190.518575,206,22.30274,0.027240796
-255.657349,189,22.931781,0.17372541
-228.950259,376,24.200145,0.09726494
-192.862563,249,24.893385,0.007815389
-195.352379,256,26.016617,0.006828309
-73.88847,192,26.193139,0.63079035
-99.546159,266,27.328433,0.33806136
-179.138987,183,27.942303,0.0012290116
-109.132986,464,29.25678,0.43015692
-136.676953,270,29.951308,0.25810927
-119.84427,519,31.761851,0.081097454
-155.627328,619,33.663196,0.115793936
-437.707332,691,36.073745,0.17464775
-126.454441,519,37.435499,0.022819359
-208.702481,421,38.697083,0.09241743
-203.238379,958,41.76559,0.04968548
-93.015862,1000,44.86946,0.13716632
-73.425749,776,47.331607,0.060372505
56.051483,1000,50.442283,1.0208419e-06
42.836484,1000,56.401204,7.3052996e-07
8.522888,1000,62.885616,0.049760114
-62.792969,1000,69.684098,0.005369362
-14.137698,1000,76.282414,0.14774151
29.405354,1000,82.765961,0.07843052
-51.231885,737,87.703593,0.050467134
-31.528079,1000,94.309567,0.0005501863
-209.707168,1000,100.892205,0.034735803
13.466219,1000,107.259498,0.016724922
-161.020548,923,112.403862,0.11498896
38.373044,1000,118.805117,0.008314215
-34.076135,1000,128.216103,0.010152405
-70.400859,1000,137.538832,0.05354814
-10.653994,1000,144.155529,0.009364956
10.192502,1000,150.814137,0.03351987
-9.362097,1000,157.55844,0.037416767
-16.996943,1000,163.564731,0.0036578192
-0.556339,1000,169.548767,0.022121118
3.103132,1000,173.04935,0.034212403
-41.134276,1000,176.399714,0.014434711
-48.278479,1000,180.538144,0.041586168
8.31708,1000,186.016413,0.0028066544
-5.750142,1000,191.632997,0.05070812
112.521776,832,196.7451,0.18496443
-168.353749,620,199.6884,0.0
571.895257,139,200.012632,0.3313304
79.229036,200,201.036306,0.11325733
338.317384,157,201.940332,0.091179736
504.582026,97,202.710443,0.12988997
430.168579,66,202.908862,0.24549559
387.264627,64,203.091075,0.21171518
542.138884,92,203.894874,0.33321473
609.125328,92,204.159137,0.13808036
408.020909,86,204.947959,0.008248358
583.357375,76,205.164761,0.8095918
488.55759,84,205.946229,0.03615625
749.355131,103,206.24563,0.90441614
579.824905,86,206.489649,0.50970626
484.82766,88,207.295822,0.054699227
448.932418,193,208.386141,0.6237194
616.309295,94,208.656296,2.6399288e-08
478.635283,106,209.500844,0.10385194
494.267053,107,209.803442,0.34540015
535.047095,71,210.549295,0.017578382
460.485922,82,210.781752,0.20972045
476.659751,79,211.566577,0.056099605
705.486378,86,211.809344,3.7179007e-08
405.569574,75,212.024256,0.0028818406
421.831549,69,212.769722,0.6952595
701.653921,82,213.003448,0.9929632
725.279946,85,213.788134,0.79889333
552.141549,71,213.98904,0.27490047
462.789998,64,214.189858,0.12487335
682.683213,80,214.972872,0.24797006
599.432744,71,215.173795,0.10984137
615.793332,69,215.370726,0.15228371
520.399402,70,216.113276,0.105392404
822.859685,90,216.368976,0.80218387
505.195249,65,216.554134,0.0379001
425.116632,61,217.284302,0.68184155
621.682489,71,217.487471,2.6419912e-08
479.366654,65,217.673333,0.5818556
696.945769,77,218.435826,0.01532704
633.287815,73,218.644969,0.21649854
418.411738,57,218.808316,2.3275375e-07
452.461934,60,219.523075,0.68491995
739.148261,83,219.760967,0.22553977
529.39645,82,220.707295,0.14408661
752.528748,82,220.940549,0.14988893
536.463286,78,221.166991,0.008014364
474.798605,62,222.269193,0.014009992
507.531398,61,222.522106,0.08749166
407.308548,58,223.288391,0.04240566
539.674867,67,224.126481,0.53255963
426.127982,103,224.482481,0.017899394
547.771239,67,225.012657,0.01616978
480.124633,61,225.74596,0.22777435
911.388755,94,226.010171,0.21682678
789.70277,84,226.781094,1.4602492
333.289081,137,227.166497,0.190872
499.731693,64,227.912619,0.6556485
815.191249,88,228.159131,0.041171882
731.338896,80,228.957542,0.894202
488.878339,62,229.132859,0.1246901
535.869572,65,229.315762,0.1942756
792.624075,83,230.270833,0.067000076
499.351797,60,230.439717,0.11038825
461.513794,71,230.640278,0.005382689
511.170174,62,231.49193,0.24929109
615.808345,69,231.748201,0.797536
422.001106,54,231.899317,0.8398475
449.343233,60,232.070125,0.51619375
464.530984,62,232.784111,0.3104338
492.603943,71,232.985573,0.07647763
552.9449,64,233.165145,0.059492208
497.988891,61,233.87988,0.036446944
875.237876,91,234.135495,0.48310965
460.178723,60,234.853907,0.54708517
918.027152,92,235.113554,0.14819326
829.809144,84,235.348512,0.09229615
797.48941,87,236.138175,0.0066600577
824.184905,122,236.486235,0.0766768
664.360045,72,237.238595,0.1628125
1000.741698,115,237.565104,0.058763932
380.026585,52,238.289877,0.1476304
383.485764,82,238.519987,0.22361909
895.909955,88,238.768335,1.6241583e-07
542.438947,69,239.510944,0.051130526
587.895976,74,239.718049,0.121609725
837.018167,86,240.5054,1.0938731
447.370904,76,240.720648,0.08576216
595.752833,68,240.912622,0.1608053
407.997909,97,241.72884,0.030560832
505.116839,60,241.898844,0.91234654
600.095099,68,242.09169,0.09121976
698.515327,76,242.852352,0.33098617
754.428691,82,243.086426,0.7072758
555.209275,64,243.810978,0.35087737
494.801771,66,243.998763,0.13439213
1142.894917,103,244.308293,0.20449011
506.762109,62,245.030261,0.0003683177
757.552371,79,245.285339,0.9130957
784.141155,81,246.058989,0.8202621
490.117615,65,246.242503,0.1491204
464.089487,73,246.451513,0.08871774
726.74578,80,247.223235,7.919787e-08
479.724876,71,247.423097,0.046061233
550.538706,68,247.616017,0.29101086
469.085154,58,248.43625,0.0863158
646.134156,87,248.693257,0.020964371
519.82607,63,248.872885,0.04232412
487.126347,73,249.622452,0.03298182
457.700403,61,249.793695,0.55615896
533.444167,69,249.988622,0.10176728
447.568032,75,250.746135,0.15257576
719.072986,78,250.96662,0.029070368
528.125465,69,251.164171,0.09753678
990.168927,95,251.993421,0.24415725
451.404928,68,252.186723,0.055619042
469.844805,74,252.940632,0.09702726
852.550519,86,253.18486,0.6620583
517.501692,70,253.384617,0.43447462
418.593053,60,254.101263,0.005593081
482.379374,71,254.322325,0.08238801
561.367274,65,254.511793,0.48149845
475.902798,61,255.23168,0.24368714
688.451416,80,255.458633,0.30571124
462.215731,58,255.628939,0.37066904
452.636708,73,256.377823,0.059602156
498.87972,64,256.558041,0.0015284852
542.514341,69,256.752908,0.16356368
688.192812,79,257.518324,0.9718575
540.573202,84,257.75586,0.33623472
755.596258,82,258.679697,0.7714075
614.075293,76,258.89384,0.39335197
423.209459,76,259.110291,0.12130579
479.168258,70,259.847893,0.0039930395
476.988058,73,260.053648,0.053157248
951.324494,93,260.859571,0.0071874033
1011.135802,98,261.133518,0.27805424
654.187539,70,261.329529,0.4578562
767.707838,85,262.110096,0.33051902
919.605108,90,262.363308,0.16131043
976.679801,94,263.171857,0.29235423
688.202172,80,263.397076,0.11044822
431.812427,73,264.146668,0.13507485
304.751969,93,264.412179,0.076215744
550.268709,66,264.597555,0.4930713
702.461616,79,265.376809,0.07120573
474.214348,73,265.5825,0.046068348
404.258652,58,265.746353,9.706461e-10
476.549354,71,266.492558,0.0684274
1106.209743,101,266.782902,0.1882688
986.971398,97,267.598136,0.09792889
485.168154,59,267.76645,0.17475697
534.440197,76,267.980855,0.0121447705
593.769127,69,268.717554,0.46651882
1136.95916,103,269.010295,0.05728897
457.543529,62,269.727935,0.14455883
487.508396,65,269.910179,0.006655532
535.318358,67,270.09883,0.41226634
821.668403,83,270.875926,0.24745128
388.745826,92,271.134845,0.2634944
685.836161,106,271.977232,0.11706839
507.065787,72,272.183345,0.031773273
495.384838,72,272.385765,0.0339873
708.371773,81,273.158049,0.19391719
727.033957,80,273.383379,2.1559906e-08
898.570192,90,274.179269,0.13833502
880.427484,90,274.432115,0.24379736
544.277664,66,274.617578,0.15932216
906.255856,92,275.422773,0.0073538763
944.281365,91,275.681675,0.048670787
838.758503,86,276.468215,0.031194007
526.014993,62,276.649073,0.46965763
761.765036,79,276.87216,0.03661165
521.659343,63,277.592331,0.007786345
487.385218,72,277.796644,0.07631429
511.082692,73,278.551112,0.0061658714
427.952686,59,278.718292,0.09288411
738.128466,82,278.9506,0.8551718
545.591023,64,279.67437,0.49556288
562.182783,66,279.860382,0.17982158
636.146097,71,280.059522,0.1935816
624.870858,70,280.801743,0.8879019
555.78201,70,280.99905,0.016208502
615.819686,73,281.203799,0.020846983
597.728923,77,281.96278,0.3284581
484.27503,59,282.131315,0.13118221
479.266038,70,282.330927,0.04191657
642.999957,70,283.07584,0.25752142
543.216574,68,283.268634,0.43280002
548.287159,68,283.461988,0.023807973
490.042488,63,284.187189,0.0029427942
500.939612,60,284.378656,0.47033072
591.261786,71,284.57728,0.3488687
466.591061,63,285.302933,0.14957711
527.541853,62,285.47838,0.28763422
544.985619,68,285.670758,0.83576447
489.28453,72,286.417933,0.061654277
738.435566,79,286.647075,0.29617357
876.626183,89,286.898319,0.33654052
599.804347,75,287.656151,0.632036
525.574594,66,287.843172,0.11275542
540.459659,64,288.61725,0.52314544
472.341701,57,288.780141,0.59807706
429.698943,59,288.947909,1.0735712e-07
527.785861,61,289.121055,0.4491956
463.593565,63,289.842932,0.55028176
651.820214,77,290.062555,0.5927192
733.703284,84,290.847168,4.972601e-08
450.049434,61,291.019715,0.518483
836.467731,85,291.258425,0.24641891
528.692905,66,291.99346,0.30179778
589.494406,68,292.184792,0.08484313
470.985039,63,292.361643,0.04423915
408.299906,58,293.071353,0.031139087
700.749661,79,293.298209,0.13370751
558.653061,65,293.48274,0.15133086
564.743846,70,294.226867,0.06539272
562.084705,67,294.433513,0.016056353
651.783408,73,294.638839,0.116984695
777.700543,84,295.434362,0.044669077
403.43518,54,295.585631,0.9931624
547.984222,64,295.767553,0.2863156
549.692162,64,296.509409,0.6974563
542.695889,64,296.73481,0.6799138
600.289592,68,296.93101,0.6111726
474.170716,59,297.649436,0.13250826
888.986724,89,297.901864,0.10805886
442.383898,58,298.066826,0.15266024
945.411454,93,298.877809,0.055571783
750.440952,80,299.105259,0.84427905
522.966895,65,299.289085,0.14953335
464.87958,72,300.039901,0.058026247
659.521937,75,300.253727,0.06843058
657.333316,79,301.032579,0.56039155
558.037813,65,301.21821,0.3116387
509.06853,61,301.390273,0.55670667
460.395588,64,302.121428,0.14663239
589.646446,67,302.311584,1.3246263e-07
558.314653,70,302.511537,0.7203345
482.352098,101,303.344899,0.14042902
549.904864,65,303.528364,0.7278705
571.917869,68,303.721516,0.18161221
977.401126,95,304.537338,0.20255555
795.11437,85,304.777826,0.45215476
695.152763,76,305.544549,1.0163945
731.98028,80,305.773101,0.98162013
549.002328,70,305.970868,0.12356808
428.662488,55,306.676225,0.8127995
402.764699,54,306.830118,0.42594773
478.82465,60,307.000268,0.34297043
1116.475913,101,307.844543,0.37117288
907.48265,91,308.104828,0.03335123
681.574111,76,308.908908,1.2504275
817.07739,86,309.153506,0.50323695
757.662386,80,309.380719,0.4095516
478.281025,109,310.237803,0.036511995
447.163867,73,310.444774,0.18569213
474.430462,64,311.179022,0.11346719
527.44921,67,311.371203,0.21934102
575.173527,70,311.573951,0.07584845
508.490433,73,312.327402,0.11907674
550.854304,65,312.511305,0.2439619
462.506021,63,312.690318,0.33857432
467.158658,67,313.430482,0.009543911
758.277732,81,313.659987,0.55171585
491.603616,73,313.871474,0.035540465
486.408018,61,314.894148,0.29245389
471.277162,58,315.05976,0.18217115
470.982959,72,315.268131,0.12531002
853.149577,132,316.192244,0.0065540285
752.329879,80,316.975022,0.6542171
552.721598,64,317.157316,0.043985106
477.901565,61,317.330724,0.16405576
443.39723,59,317.498156,3.3157946e-07
882.530922,90,318.309672,0.16335343
747.741428,80,318.55544,0.00023841886
554.203122,63,319.281874,0.3887683
744.442859,89,319.535737,0.24127616
485.013772,72,319.738529,0.018654663
705.326055,79,320.511559,2.6305239e-07
635.291571,70,320.709562,0.25503033
370.379908,56,320.870283,0.1501164
883.128978,89,321.670597,0.1633715
536.798462,65,321.85497,0.33407804
452.532789,62,322.578782,0.3319221
920.786899,91,322.842077,0.12668526
489.716038,70,323.042132,0.06502433
454.414195,57,323.743588,0.044096127
499.578911,61,323.915351,0.015676137
624.165513,71,324.115742,0.17092752
477.736931,59,325.024237,0.22320338
379.812641,51,325.177034,0.99919283
544.826434,64,325.359533,0.6481129
452.252772,57,325.52003,0.00050193793
554.670733,65,326.247168,0.15444438
695.785108,77,326.469224,0.16232108
632.284601,70,326.668948,0.2702659
882.516734,90,327.469867,0.14411661
599.250091,67,327.665794,0.46278915
775.388433,86,328.574836,0.0082092825
852.164612,89,328.827347,0.37471807
829.434816,88,329.634886,0.21156076
627.036201,72,329.840083,0.05406068
561.279457,63,330.018586,0.0840358
949.851554,91,330.813993,0.2539671
436.598777,74,331.027533,0.021413865
571.016439,66,331.214627,0.34505624
885.252936,87,331.997869,0.2026482
753.945683,80,332.224399,0.037203375
583.658695,67,332.959843,0.0021646118
546.905727,64,333.141274,0.23763762
463.063495,61,333.316661,0.26140934
615.767915,68,334.04847,0.018123208
507.138672,71,334.251512,0.03892868
526.986851,62,334.45197,0.015165105
500.728641,65,335.179722,0.83259827
495.518662,64,335.361197,0.024570879
552.71133,63,335.541368,0.3689977
764.238002,81,336.309967,0.5407617
1040.919561,99,336.59291,0.7901423
701.400876,81,336.823743,0.032789703
528.744434,62,337.542976,0.03190209
773.779366,80,337.776282,0.009951291
466.430485,60,337.948823,0.24243174
567.206634,89,338.73847,0.18497042
569.149762,65,338.923703,0.27601117
454.988171,64,339.64625,0.17243692
484.497664,71,339.847162,0.068382
380.337531,57,340.010859,0.3639026
542.384399,70,340.746083,0.3091813
646.821754,70,340.9472,0.33302647
