Model,Round,Avg Wind Pressure,Budget Used,Status
LSTM_Latent,10,0.0,0.0,💤 LAZY (No Action)
LSTM_Latent,20,0.0,0.0,💤 LAZY (No Action)
LSTM_Latent,30,0.0,0.0,💤 LAZY (No Action)
LSTM_Latent,40,0.0,0.0,💤 LAZY (No Action)
LSTM_Latent,50,0.0,0.0,💤 LAZY (No Action)
LSTM_Visible,10,577.5,28.9,✅ HEALTHY
LSTM_Visible,20,1888.0,95.3,⚠️ BROKE (Ran out of money)
LSTM_Visible,30,316.3,15.8,✅ HEALTHY
LSTM_Visible,40,612.4,30.6,✅ HEALTHY
LSTM_Visible,50,275.3,13.8,✅ HEALTHY
PPO_Latent,10,13.2,0.7,💤 LAZY (No Action)
PPO_Latent,20,1845.5,93.2,✅ HEALTHY
PPO_Latent,30,660.0,33.3,✅ HEALTHY
PPO_Latent,40,1315.2,66.7,✅ HEALTHY
PPO_Latent,50,660.0,33.3,✅ HEALTHY
PPO_Visible,10,1065.4,53.4,✅ HEALTHY
PPO_Visible,20,0.0,0.0,💤 LAZY (No Action)
PPO_Visible,30,0.0,0.0,💤 LAZY (No Action)
PPO_Visible,40,0.0,0.0,💤 LAZY (No Action)
PPO_Visible,50,0.0,0.0,💤 LAZY (No Action)
SAC_Latent,10,713.0999755859375,35.70000076293945,✅ HEALTHY
SAC_Latent,20,632.5,31.600000381469727,✅ HEALTHY
SAC_Latent,30,682.7999877929688,34.099998474121094,✅ HEALTHY
SAC_Latent,40,604.0,30.200000762939453,✅ HEALTHY
SAC_Latent,50,332.0,16.600000381469727,✅ HEALTHY
SAC_Visible,10,426.20001220703125,21.299999237060547,✅ HEALTHY
SAC_Visible,20,467.20001220703125,23.399999618530273,✅ HEALTHY
SAC_Visible,30,572.0999755859375,28.600000381469727,✅ HEALTHY
SAC_Visible,40,426.3999938964844,21.299999237060547,✅ HEALTHY
SAC_Visible,50,505.5,25.299999237060547,✅ HEALTHY
