Model,Row,Col,Angle,Force,Success
PPO (Visible),0,0,0,0.0,0.54
PPO (Visible),0,0,0,3.3,0.01
PPO (Visible),0,0,0,6.6,0.0
PPO (Visible),0,0,0,10.0,0.0
PPO (Visible),0,0,45,0.0,0.55
PPO (Visible),0,0,45,3.3,0.45
PPO (Visible),0,0,45,6.6,0.48
PPO (Visible),0,0,45,10.0,0.51
PPO (Visible),0,0,90,0.0,0.56
PPO (Visible),0,0,90,3.3,0.43
PPO (Visible),0,0,90,6.6,0.04
PPO (Visible),0,0,90,10.0,0.0
PPO (Visible),0,0,135,0.0,0.51
PPO (Visible),0,0,135,3.3,0.0
PPO (Visible),0,0,135,6.6,0.0
PPO (Visible),0,0,135,10.0,0.0
PPO (Visible),0,0,180,0.0,0.49
PPO (Visible),0,0,180,3.3,0.0
PPO (Visible),0,0,180,6.6,0.0
PPO (Visible),0,0,180,10.0,0.0
PPO (Visible),0,0,225,0.0,0.64
PPO (Visible),0,0,225,3.3,0.31
PPO (Visible),0,0,225,6.6,0.25
PPO (Visible),0,0,225,10.0,0.31
PPO (Visible),0,0,270,0.0,0.58
PPO (Visible),0,0,270,3.3,0.0
PPO (Visible),0,0,270,6.6,0.0
PPO (Visible),0,0,270,10.0,0.0
PPO (Visible),0,0,315,0.0,0.58
PPO (Visible),0,0,315,3.3,0.01
PPO (Visible),0,0,315,6.6,0.0
PPO (Visible),0,0,315,10.0,0.0
LSTM (Visible),0,1,0,0.0,0.72
LSTM (Visible),0,1,0,3.3,0.99
LSTM (Visible),0,1,0,6.6,0.88
LSTM (Visible),0,1,0,10.0,0.16
LSTM (Visible),0,1,45,0.0,0.73
LSTM (Visible),0,1,45,3.3,0.96
LSTM (Visible),0,1,45,6.6,0.69
LSTM (Visible),0,1,45,10.0,0.01
LSTM (Visible),0,1,90,0.0,0.69
LSTM (Visible),0,1,90,3.3,0.78
LSTM (Visible),0,1,90,6.6,0.77
LSTM (Visible),0,1,90,10.0,0.14
LSTM (Visible),0,1,135,0.0,0.71
LSTM (Visible),0,1,135,3.3,0.55
LSTM (Visible),0,1,135,6.6,0.46
LSTM (Visible),0,1,135,10.0,0.21
LSTM (Visible),0,1,180,0.0,0.64
LSTM (Visible),0,1,180,3.3,0.07
LSTM (Visible),0,1,180,6.6,0.01
LSTM (Visible),0,1,180,10.0,0.0
LSTM (Visible),0,1,225,0.0,0.73
LSTM (Visible),0,1,225,3.3,0.01
LSTM (Visible),0,1,225,6.6,0.0
LSTM (Visible),0,1,225,10.0,0.0
LSTM (Visible),0,1,270,0.0,0.71
LSTM (Visible),0,1,270,3.3,0.11
LSTM (Visible),0,1,270,6.6,0.0
LSTM (Visible),0,1,270,10.0,0.0
LSTM (Visible),0,1,315,0.0,0.66
LSTM (Visible),0,1,315,3.3,0.72
LSTM (Visible),0,1,315,6.6,0.59
LSTM (Visible),0,1,315,10.0,0.0
PPO (Latent),1,0,0,0.0,0.78
PPO (Latent),1,0,0,3.3,0.8
