Model,Row,Col,Angle,Force,Success
PPO (Visible),0,0,0,0.0,0.64
PPO (Visible),0,0,0,3.3,0.04
PPO (Visible),0,0,0,6.6,0.0
PPO (Visible),0,0,0,10.0,0.0
PPO (Visible),0,0,45,0.0,0.56
PPO (Visible),0,0,45,3.3,0.68
PPO (Visible),0,0,45,6.6,0.56
PPO (Visible),0,0,45,10.0,0.16
PPO (Visible),0,0,90,0.0,0.72
PPO (Visible),0,0,90,3.3,0.32
PPO (Visible),0,0,90,6.6,0.04
PPO (Visible),0,0,90,10.0,0.0
PPO (Visible),0,0,135,0.0,0.48
PPO (Visible),0,0,135,3.3,0.0
PPO (Visible),0,0,135,6.6,0.0
PPO (Visible),0,0,135,10.0,0.0
PPO (Visible),0,0,180,0.0,0.56
PPO (Visible),0,0,180,3.3,0.0
PPO (Visible),0,0,180,6.6,0.0
PPO (Visible),0,0,180,10.0,0.0
PPO (Visible),0,0,225,0.0,0.6
PPO (Visible),0,0,225,3.3,0.2
PPO (Visible),0,0,225,6.6,0.16
PPO (Visible),0,0,225,10.0,0.44
PPO (Visible),0,0,270,0.0,0.68
PPO (Visible),0,0,270,3.3,0.0
PPO (Visible),0,0,270,6.6,0.0
PPO (Visible),0,0,270,10.0,0.0
PPO (Visible),0,0,315,0.0,0.48
PPO (Visible),0,0,315,3.3,0.0
PPO (Visible),0,0,315,6.6,0.0
PPO (Visible),0,0,315,10.0,0.0
LSTM (Visible),0,1,0,0.0,0.68
LSTM (Visible),0,1,0,3.3,1.0
LSTM (Visible),0,1,0,6.6,0.96
LSTM (Visible),0,1,0,10.0,0.52
LSTM (Visible),0,1,45,0.0,0.84
LSTM (Visible),0,1,45,3.3,0.92
LSTM (Visible),0,1,45,6.6,0.92
LSTM (Visible),0,1,45,10.0,0.0
LSTM (Visible),0,1,90,0.0,0.64
LSTM (Visible),0,1,90,3.3,0.84
LSTM (Visible),0,1,90,6.6,0.64
LSTM (Visible),0,1,90,10.0,0.16
LSTM (Visible),0,1,135,0.0,0.52
LSTM (Visible),0,1,135,3.3,0.36
LSTM (Visible),0,1,135,6.6,0.56
LSTM (Visible),0,1,135,10.0,0.48
LSTM (Visible),0,1,180,0.0,0.68
LSTM (Visible),0,1,180,3.3,0.08
LSTM (Visible),0,1,180,6.6,0.0
LSTM (Visible),0,1,180,10.0,0.0
LSTM (Visible),0,1,225,0.0,0.72
LSTM (Visible),0,1,225,3.3,0.04
LSTM (Visible),0,1,225,6.6,0.0
LSTM (Visible),0,1,225,10.0,0.0
LSTM (Visible),0,1,270,0.0,0.84
LSTM (Visible),0,1,270,3.3,0.2
LSTM (Visible),0,1,270,6.6,0.0
